Record ID,Count point id,Direction of travel,Year,Count date,hour,Region id,Region name,Local authority name,Road name,Road Category ID,Start junction road name,End junction road name,Latitude,Longitude,Link length km,Pedal cycles,Two wheeled motor vehicles,Cars and taxis,Buses and coaches,LGV Type,HGV Type,EV Car,EV Bike
18547,46818,S,2014,09/11/2014 00:00,17,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,11,4,323,22,55,2,0,0
18548,46818,S,2014,09/11/2014 00:00,18,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,7,8,303,42,36,0,0,0
18549,46818,S,2014,09/11/2014 00:00,7,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,6,3,341,17,57,5,1,0
18550,46818,S,2014,09/11/2014 00:00,8,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,23,3,273,12,29,7,6,1
18551,46818,S,2014,09/11/2014 00:00,9,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,9,2,274,27,59,8,2,4
18552,46818,S,2014,09/11/2014 00:00,10,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,4,1,214,21,45,2,0,4
,46818,S,2014,09/11/2014 00:00,11,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,2,2,222,18,44,3,3,0
18554,46818,S,2014,09/11/2014 00:00,12,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,5,3,213,20,48,5,3,1
18555,46818,N,2014,09/11/2014 00:00,13,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,3,1,176,21,19,5,1,4
18556,46818,N,2014,09/11/2014 00:00,14,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,6,4,221,22,21,8,1,2
18557,46818,N,2014,09/11/2014 00:00,15,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,3,5,279,20,40,4,0,4
18558,46818,N,2014,09/11/2014 00:00,16,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,10,4,278,22,48,3,0,0
18559,46818,N,2014,09/11/2014 00:00,17,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,17,17,340,18,39,6,0,0
18560,46818,N,2014,09/11/2014 00:00,18,6,London,Croydon,A222,4,A232,A222 Lower Addiscombe Rd,51.37750343,-0.091631091,1.1,18,4,301,19,30,0,0,0
,37072,N,2014,10/24/2014 0:00,7,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,20,1069,6,383,21,8,9
18562,37072,N,2014,10/24/2014 0:00,8,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,16,1000,8,241,23,7,2
18563,37072,N,2014,10/24/2014 0:00,9,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,8,931,30,172,39,7,12
18564,37072,N,2014,10/24/2014 0:00,10,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,5,1024,11,197,27,5,10
18565,37072,N,2014,10/24/2014 0:00,11,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,7,960,5,145,49,7,8
18566,37072,N,2014,10/24/2014 0:00,12,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,6,959,2,191,39,7,8
18567,37072,S,2014,10/24/2014 0:00,13,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,5,879,6,195,25,8,6
18568,37072,S,2014,10/24/2014 0:00,14,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,18,1018,14,173,21,2,4
18569,37072,S,2014,10/24/2014 0:00,15,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,10,996,11,228,17,4,7
18570,37072,S,2014,10/24/2014 0:00,16,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,20,993,9,225,22,4,1
18571,37072,S,2014,10/24/2014 0:00,17,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,13,1108,5,194,8,3,0
18572,37072,S,2014,10/24/2014 0:00,18,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,14,1267,6,189,5,0,0
18573,37072,S,2014,10/24/2014 0:00,7,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,13,861,2,238,35,10,3
18574,37072,S,2014,10/24/2014 0:00,8,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,7,868,8,219,45,5,9
18575,37072,S,2014,10/24/2014 0:00,9,1,South West,Devon,A380,4,A381,A381/A383,50.53694661,-3.587025595,2.5,0,3,715,9,199,26,16,6
